InChI Key,SMILES,DrugBank ID,Target uniprot,Target organism,Target actions,Target cellular location,ATC Codes,CAS Number
LQCLVBQBTUVCEQ-QTFUVMRISA-N,CO[C@H]1C[C@H](O[C@H]2[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3OC(C)=O)N(C)C)[C@@H](C)C[C@@]3(CO3)C(=O)[C@H](C)[C@@H](OC(C)=O)[C@@H](C)[C@@H](C)OC(=O)[C@@H]2C)O[C@@H](C)[C@@H]1OC(C)=O,DB13179,P11712; P33261; P20815; Q9HB55; P60723; P49228; P08183; P11509; P33260; P10632; P08684; O75469,Human; Escherichia coli (strain K12); Deinococcus radiodurans (strain ATCC 13939 / DSM 20539 / JCM 16871 / LMG 4051 / NBRC 15346 / NCIMB 9279 / R1 / VKM B-1422),inhibitor; inducer; substrate; activator,Endoplasmic reticulum membrane; Cell membrane; Nucleus,J01FA08,9/9/2751
XFKLULFTFNRQOX-UHFFFAOYSA-N,O.[Mg++].[Al+3].[Al+3].[O-][Si]([O-])([O-])[O-].[O-][Si]([O-])([O-])[O-],DB13595,,,,,A02AD05,71205-22-6
FJIKWRGCXUCUIG-UHFFFAOYSA-N,CN1C2=C(C=C(Cl)C=C2)C(=NC(O)C1=O)C1=CC=CC=C1Cl,DB13872,P47869; P18507; P34903; P31644; P14867,Human,positive allosteric modulator,Cell junction,N05CD06,848-75-9
MQHLMHIZUIDKOO-AYHJJNSGSA-N,[H]C(C)(CN1C[C@]([H])(C)O[C@]([H])(C)C1)CC1=CC=C(C=C1)C(C)(C)CC,DB09056,,,,,D01AE16,78613-35-1
YWDBSCORAARPPF-VWUMJDOOSA-N,[H][C@@]12CC[C@](O)(C(=O)CS)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,DB09091,P04150; Q92769,Human,binder; stimulator,Cytoplasm; Nucleus,A07EA05; R01AD07; R01AD57,61951-99-3
GMZVRMREEHBGGF-UHFFFAOYSA-N,OC(=N)CN1CCCC1=O,DB09210,,,,,N06BX03,7491-74-9
LYPFDBRUNKHDGX-LWQDQPMZSA-N,OC1=CC=CC(=C1)C-1=C2\CCC(=N2)\C(=C2/N\C(\C=C2)=C(/C2=N/C(/C=C2)=C(\C2=CC=C\-1N2)C1=CC(O)=CC=C1)C1=CC(O)=CC=C1)\C1=CC(O)=CC=C1,DB11630,,Human,substrate,,L01XD05,122341-38-2
FSQKKOOTNAMONP-UHFFFAOYSA-N,COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(=O)OCC(O)=O,DB13783,P23219; P35354; P16662; P33527,Human,antagonist; substrate,Microsome membrane; Cell membrane,M01AB11,53164-05-9
XBJPSVQFCQFGDC-UZOALHFESA-K,[Ga+3].C[C@@H](O)[C@H](NC(=O)[C@@H]1CSSC[C@H](NC(=O)[C@@H](CC2=CC=CC=C2)NC(=O)CN2CCN(CC([O-])=O)CCN(CC([O-])=O)CCN(CC([O-])=O)CC2)C(=O)N[C@@H](CC2=CC=C(O)C=C2)C(=O)N[C@H](CC2=CNC3=C2C=CC=C3)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N1)C(O)=O,DB13925,P30874,Human,binder,Cell membrane,,1027785-90-5
FHXBMXJMKMWVRG-SLHNCBLASA-N,[H][C@]1(O)CC[C@@]2([H])[C@]3([H])CCC4=CC(OC(C)=O)=CC=C4[C@@]3([H])CC[C@]12C,DB13952,P03372; O75469; P04278; Q92731; P05177; P22309; P02768; P12104; P08684; P20815; P24462; O15244; O15245; O75751; O94956; P46721; Q5T3U5; Q9NSA0; Q9UNQ0; Q9Y6L6; P08183; P04798; Q16678; P33261; P10632; P11712; Q8TCC7; Q9NPD5; Q9NYB5; Q96BD0; P43681; Q15596; Q99527; P00846; Q14457; P37059; P62508,Human,agonist; substrate; inhibitor; inducer; ligand,Nucleus; Secreted; Endoplasmic reticulum membrane; Microsome; Cytoplasm; Membrane; Basolateral cell membrane; Cell membrane; Cell junction; Mitochondrion inner membrane,,4245-41-4
BTCSSZJGUNDROE-UHFFFAOYSA-N,NCCCC(O)=O,DB02530,P50440; Q7Z2H8; Q9UBS5; O75899,Human,,Mitochondrion inner membrane; Cell membrane,,56-12-2
BENFXAYNYRLAIU-QSVFAHTRSA-N,NCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSC[C@H](NC(=O)CNC(=O)CNC(=O)CN)C(=O)N[C@@H](CC2=CC=C(O)C=C2)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O,DB02638,P37288; P30518; P47901,Human,stimulator; agonist,Cell membrane,H01BA04,14636-12-5
JWPGJSVJDAJRLW-UHFFFAOYSA-N,NC(=N)N1CCC2=CC=CC=C2C1,DB04840,P23975; P10635; P08183; P04798,Human,inducer; substrate,Membrane; Endoplasmic reticulum membrane; Cell membrane,C02CC04,1131-64-2
UEQUQVLFIPOEMF-UHFFFAOYSA-N,CN1CCN2C(C1)C1=CC=CC=C1CC1=CC=CC=C21,DB06148,P35367; P08913; P28223; P28335; P10635; P31645; P08684; P05177; P20813; P23975; Q9H3N8; P08908; P18825; P41595; P30939; P18089; P35462; P41145; Q01959; P34969; P14416; P50406; P35348; P35368; P25100; P21728; P21918,Human,antagonist; substrate; inhibitor; binder; blocker; agonist,Cell membrane; Endoplasmic reticulum membrane; Membrane; Nucleus membrane,N06AX03,24219-97-4
ZZORFUFYDOWNEF-UHFFFAOYSA-N,COC1=NC(OC)=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1,DB06150,P11712,Human,inhibitor,Endoplasmic reticulum membrane,J01ED01; G01AE10,122-11-2
MKKYBZZTJQGVCD-XTCKQBCOSA-N,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)CC[C@H]2N)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,DB06696,P0A7S3,Escherichia coli (strain K12),inhibitor,Cytoplasmic,J01GB12,51025-85-5
OMFNSKIUKYOYRG-MOSHPQCFSA-N,CCOC1=C(OCC)C=C(\C=C2/NCCC3=CC(OCC)=C(OCC)C=C23)C=C1,DB06751,P27815; Q13936,Human,inhibitor,Cytoplasm; Membrane,A03AD02,14009-24-6
SMTZFNFIKUPEJC-UHFFFAOYSA-N,CC(=O)OCC(=O)NCCCOC1=CC=CC(CN2CCCCC2)=C1,DB08806,P25021,Human,antagonist,Cell membrane,A02BA06,78628-28-1
VWXRQYYUEIYXCZ-AVTFEHRISA-N,[H][C@]1(NC(=O)[C@@H](CC2=CC=C(OCC)C=C2)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)C(NC1=O)[C@@H](C)O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCN)C(=O)NCC(N)=O)[C@@H](C)CC,DB09059,,,,,G02CX01,90779-69-4
JICJBGPOMZQUBB-UHFFFAOYSA-N,CN1C2=CC=CC=C2C(NCCCCCCC(O)=O)C2=C(C=C(Cl)C=C2)S1(=O)=O,DB09289,P31645,Human,,Cell membrane,N06AX14,72797-41-2
CZGUSIXMZVURDU-JZXHSEFVSA-N,CC[C@H](C)[C@H](NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](N)CC(O)=O)C(C)C)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O,DB11842,P30556,Human,agonist,Cell membrane,,4474-91-3
JTVPZMFULRWINT-UHFFFAOYSA-N,CCN(CC)CCN=C(O)C1=C(OC)C=CC(=C1)S(C)(=O)=O,DB13025,P14416; P35462; P08908; P28222; P28221; P28566; P30939; P28223; P41595; P28335; P46098; O95264; Q8WXA8; Q70Z44; A5X5Y0; Q13639; P50406; P34969; P35348; P35368; P25100; P08913; P18089; P18825; P35367,Human,blocker; antagonist,Cell membrane; Cell junction; Nucleus membrane,N05AL03,51012-32-9
LEONUFNNVUYDNQ-UHFFFAOYSA-N,[V],DB13971,,,,,,7440-62-2
FFEARJCKVFRZRR-UHFFFAOYSA-N,CSCCC(N)C(O)=O,DB13972,,,,,,59-51-8
DEQANNDTNATYII-OULOTJBUSA-N,[H][C@]1(NC(=O)[C@H](CCCCN)NC(=O)[C@@H](CC2=CNC3=C2C=CC=C3)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CSSC[C@H](NC1=O)C(=O)N[C@H](CO)[C@@H](C)O)NC(=O)[C@H](N)CC1=CC=CC=C1)[C@@H](C)O,DB00104,P30872; P35346; P30874; P05164,Human,binder; inhibitor,Cell membrane; Lysosome,H01CB02,83150-76-9
HNDVDQJCIGZPNO-YFKPBYRVSA-N,N[C@@H](CC1=CN=CN1)C(O)=O,DB00117,P19113; P12081; Q99624; P42357; Q8TF71,Human,substrate; inhibitor,Cytoplasm; Cell membrane,,71-00-1
PFNFFQXMRSDOHW-UHFFFAOYSA-N,NCCCNCCCCNCCCN,DB00127,Q9NWM0; P52788; P11926; P47989; Q9H015; O15245; P21673; Q96F10; P41180; P08588; P07550,Human,ligand; product of; inhibitor; substrate; binder,Cytoplasm; Membrane; Basolateral cell membrane; Cell membrane,,71-44-3
OUYCCCASQSFEME-QMMMGPOBSA-N,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,DB00135,P07101; Q9Y2Z4; P54577; P17735; P36021; Q8TF71,Human,binder; inhibitor,Mitochondrion matrix; Cytoplasm; Cell membrane,,60-18-4
GMRQFYUYWCNGIN-NKMMMXOESA-N,C[C@H](CCCC(C)(C)O)[C@@]1([H])CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C,DB00136,P11473; Q07973; P08684; P31260; P02774,Human,antagonist; substrate; inducer,Nucleus; Mitochondrion; Endoplasmic reticulum membrane; Secreted,A11CC04; D05AX03,32222-06-3
